Role,Industry,Skills,Specialisation,Job Function
"Business Analyst, Product/ Brand Manager, Product Head, Marketing Executive","IT-Hardware/Networking,  IT-Software","Market Research , Marketing Strategy , Business Development , business development manager , business analyst , senior business analyst , Customer Relation , Marketing","Business Alliances,Business Analyst,Channel & Segment Management,Market Research",Marketing/MR/Media Planning
"Administration Assistant/ Executive, Administration Manager, Facility Management - Manager, Operations Manager","IT-Hardware/Networking,  IT-Software","Administration Officer , Back-office Operations , Administration Executive , Admin Manager , management","Administration,Facilities management,Office Management & Coordination,Office Services",Administration
"Hardware Design Engineer, Project Leader/ Project Manager, System Administrator, System Engineer",IT-Hardware/Networking,"System Admin , network engineer , network administrator , it manager , ccna , Ccnp , Routing , Switching , Firewall , mcsa , Mcse , Microsoft Windows , Linux Server","Hardware Design,Network Planning,Security,Switching/Router",IT Hardware : Hardware Products & Services
"Commercial Engineer, Environmental Engineer, Factory Manager/ Plant Head, Product Manager",Automobiles/Auto Component/Auto Ancillary,"Production Engineer , project engineer , project incharge , Product Planning , Product Management , Quality Analysis , Process Implementation , Process Improvement","Engineering,Environment,Equipment,Factory Head",Production/Manufacturing/Maintenance/Packaging
"Design Engineer - Electrical, Draftsman/ Draughtsman - Electrical, O&M Engineer - Electrical, Quality Engineer - Electrical","Construction/Cement/Metal/Steel/Iron,  Engineering/Projects","Electrical Maintenance , electrical engineer , transformers , Troubleshooting , Preventive Maintenance , Electrical Testing , Electrical Construction , Electrical Designer","Electrical/Electronic,Industrial/Utility,Engineering","Engg. project Mgmt./site Engg./Civil Engg.,Production/Manufacturing/Maintenance/Packaging"
"Design Engineer - Instrumentation, Design Engineer - Mechanical, Draftsman/ Draughtsman - Mechanical, O&M Engineer - Mechanical",Automobiles/Auto Component/Auto Ancillary,"Product Design , Product Development , Auto Cad , design engineer , cad engineer , cad designer , mechanical design engineer , Design Drafting","Design Engineering,Engineering,Automotive,CAD/CAE","Engg. project Mgmt./site Engg./Civil Engg.,Production/Manufacturing/Maintenance/Packaging"
"Other Design Engineer, Other Quality Engineer, Site/ Field Engineer - Instrumentation/ Electronics, Technician/ Foreman - Instrumentation/ Electronic Controls","Engineering/Projects,  Telecom","Electronics Engineer , Electronic Product Development , Design Engineering , Electronic Hardware , Electronics Telecommunications , Electronics , Telecommunications","Design,Electrical/Electronic,Structural/Stress,Telecom",Engg. project Mgmt./site Engg./Civil Engg.
"Sales Executive/ Officer, Sales/ Business Development Manager, Direct Sales - Executive/ Officer",Retailing,"Sales , Leadership , Marketing , team leader","Retail Sales,Telesales",Sales/Business Development
"Accountant/ Accounts Executive, Accounting/ Auditing Clerk, Auditing Manager, Bank Accountant",Accounting-Tax/Consulting,"Data Entry , Tally , Accounting","Chartered Accountant/CPA,Import/Export Accounting,Taxation",Accounting/Tax/Company Secretary/Audit
"Sales Executive/ Officer, Sales/ Business Development Manager, IT Sales/ Technical Sales - Executive",Retailing,"Sales Manager , business development manager",Relationship/Account Servicing,Sales/Business Development
"Accountant/ Accounts Executive, Accounting/ Auditing Clerk, Accounts Manager",Accounting-Tax/Consulting,"Assistant accountant , MS excel , cashier",Chartered Accountant/CPA,Accounting/Tax/Company Secretary/Audit
"Domestic Private Banking - Executive/ Manager, Phone/ Internet Banking Executive, Customer Service Executive/ Officer, Relationship Executive/ Manager",Banking,"GOOD COMMUNICATION SKILLS , CONFIDENT , POSITIVE ATTITUDE , Problem Solving , Teamwork , Quick Learner , Good Interpersonal Skills , Adaptable","Retail Finance,Banking -General,Personal/ Retail Banking,Relationship Mgmt","Finance,Banks/Insurance/Financial Services"
"Recruitment - Executive/ Officer, Recruitment Consultant",Consulting Services,hiring,Consulting,HR/PM/IR/Training
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,Good communication skills,Any Process - International BPO Type,Operations/Customer Service/Telecalling/Backend
"Sales Executive/ Officer, Area/ Territory Sales Manager",Banking,"GOOD COMMUNICATION SKILLS , SALES AND MARKETING , SALES EXECUTIVE","Banking -General,Accounting/Financial Products","Banks/Insurance/Financial Services,Sales/Business Development"
"Intern, Fresher",IT-Software,"react js , Ajax Comet","Internet/E-commerce,Mobile,recat js",IT Software : Software Products & Services
"Intern, Fresher",IT-Software,"summer internship , intern","Internet/E-commerce,Mobile,summer internship",IT Software : Software Products & Services
Database Architect/ Designer,IT-Software,daa analysis,"Training,data analysis",IT Software : Software Products & Services
"Database Architect/ Designer, Intern",IT-Software,"django , internship","Training,python",IT Software : Software Products & Services
